"Genotype" "predicted.value" "standard.error" "est.status"
"191" "F1F005M012" 0.372981351349367 0.0541297805839204 "Estimable"
"192" "F1F005M013" 0.288420090546271 0.0541396666360746 "Estimable"
"193" "F1F005M014" 0.304641225160828 0.0541256856213175 "Estimable"
"194" "F1F005M015" 0.456424067996042 0.0541302745405106 "Estimable"
"195" "F1F006M001" 0.451568944832733 0.0541250012467786 "Estimable"
"196" "F1F006M002" 0.559394526807426 0.0541398072359178 "Estimable"
"197" "F1F006M003" 0.455345163438654 0.0541320389506263 "Estimable"
"198" "F1F006M004" 0.396676779756609 0.0541195221255036 "Estimable"
"199" "F1F006M005" 0.545220891558704 0.0541253123004899 "Estimable"
"200" "F1F006M006" 0.448495105517703 0.0541323442201366 "Estimable"
"201" "F1F006M007" 0.630718771283035 0.0541322539332069 "Estimable"
"202" "F1F006M008" 0.616892559606896 0.0541263572581555 "Estimable"
"203" "F1F006M009" 0.684469122255785 0.0541367733388634 "Estimable"
"204" "F1F006M010" 0.808915847286754 0.0592754845633362 "Estimable"
"205" "F1F006M011" 0.461124675362573 0.0541313324121632 "Estimable"
"206" "F1F006M012" 0.494977170559362 0.0541323590533578 "Estimable"
"207" "F1F006M013" 0.442870735324334 0.0541266065366032 "Estimable"
"208" "F1F006M014" 0.524471365406747 0.0541262021012525 "Estimable"
"209" "F1F006M015" 0.543644977757986 0.0541545261160832 "Estimable"
"210" "F1F007M001" 0.334730923975926 0.0659954777417089 "Estimable"
"211" "F1F007M002" 0.268670044960402 0.0660070707458644 "Estimable"
"212" "F1F007M003" 0.265655052533166 0.0660649467263392 "Estimable"
"213" "F1F007M004" 0.360220385770483 0.0660595225227411 "Estimable"
"214" "F1F007M005" 0.419707104767644 0.0660547230083113 "Estimable"
"215" "F1F007M006" 0.316804019002368 0.0660503203777296 "Estimable"
"216" "F1F007M007" 0.386820162310926 0.0660505023481505 "Estimable"
"217" "F1F007M008" 0.329655455310915 0.0659955095120916 "Estimable"
"218" "F1F007M010" 0.330403906966071 0.0660656857008806 "Estimable"
"219" "F1F007M012" 0.403960198691783 0.0660580571806449 "Estimable"
"220" "F1F007M013" 0.310983569852795 0.0660612673729735 "Estimable"
"221" "F1F007M014" 0.360178410332103 0.065999656086378 "Estimable"
"222" "F1F007M015" 0.426926619847417 0.0660825997304083 "Estimable"
"223" "F1F008M001" 0.42555801363504 0.0541200446298007 "Estimable"
"224" "F1F008M002" 0.429856920038858 0.0541385214841583 "Estimable"
"225" "F1F008M003" 0.381175214731829 0.0541238946529629 "Estimable"
"226" "F1F008M004" 0.389184420071034 0.0541265142126715 "Estimable"
"227" "F1F008M005" 0.342010961567348 0.0541128868236085 "Estimable"
"228" "F1F008M006" 0.417293671324291 0.0541269030242493 "Estimable"
"229" "F1F008M007" 0.411050464018029 0.0541320857131492 "Estimable"
"230" "F1F008M008" 0.330089566028462 0.0541253476059815 "Estimable"
"231" "F1F008M009" 0.518518326982595 0.0541264227945161 "Estimable"
"232" "F1F008M010" 0.46393260179748 0.0541324783786853 "Estimable"
